residual,mTCI,time,HydroGp,Transect,Species,standResid
-0.003253456411915101,0.595,-0.5,Group 5,17,RRG,-0.02117392342626657
0.009978186696020241,0.7125,1.5,Group 5,17,RRG,0.11945175551581105
-0.03611927796588277,0.51,-1.5,Group 5,17,RRG,-0.23506902476417635
-0.08825345641191507,0.51,-0.5,Group 5,17,RRG,-0.5743651340542401
-0.027521813303979736,0.675,1.5,Group 5,17,RRG,-0.3294715777817628
0.2273807220341172,0.7735,-1.5,Group 5,17,RRG,1.4798237281825424
0.1752465435880849,0.7735,-0.5,Group 5,17,RRG,1.1405276188924782
-0.037521813303979745,0.665,1.5,Group 5,17,RRG,-0.44918446666111594
0.17638072203411725,0.7225,-1.5,Group 5,17,RRG,1.1479090018057585
0.3842316655585469,0.728,-0.5,Group 2,16,RRG,2.0293423553909675
0.07629862916592245,0.7125,1.5,Group 2,16,RRG,0.9212628511343388
0.5304481837548591,0.728,-1.5,Group 2,16,RRG,2.801593577846129
0.22323166555854684,0.567,-0.5,Group 2,16,RRG,1.179011296020845
0.03879862916592247,0.675,1.5,Group 2,16,RRG,0.46847153240160716
0.36944818375485905,0.567,-1.5,Group 2,16,RRG,1.951262518476006
-0.10376833444145311,0.24,-0.5,Group 2,16,RRG,-0.5480586195942484
0.07629862916592245,0.7125,1.5,Group 2,16,RRG,0.9212628511343388
0.04244818375485909,0.24,-1.5,Group 2,16,RRG,0.22419260286091278
-0.2837683344414531,0.06,-0.5,Group 2,16,RRG,-1.4987393070887953
0.07629862916592245,0.7125,1.5,Group 2,16,RRG,0.9212628511343388
-0.1375518162451409,0.06,-1.5,Group 2,16,RRG,-0.7264880846336341
-0.1187683344414531,0.225,-0.5,Group 2,16,RRG,-0.6272820102187939
0.07629862916592245,0.7125,1.5,Group 2,16,RRG,0.9212628511343388
0.027448183754859107,0.225,-1.5,Group 2,16,RRG,0.14496921223636727
-0.1187683344414531,0.225,-0.5,Group 2,16,RRG,-0.6272820102187939
0.03879862916592247,0.675,1.5,Group 2,16,RRG,0.46847153240160716
0.027448183754859107,0.225,-1.5,Group 2,16,RRG,0.14496921223636727
-0.10376833444145311,0.24,-0.5,Group 2,16,RRG,-0.5480586195942484
