TCI,HydroGp,Transect,Species,Year,medYear,time,mTCI
11,Group 5,17,RRG,2016,2016.5,-0.5,0.595
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
10,Group 5,17,RRG,2015,2016.5,-1.5,0.51
10,Group 5,17,RRG,2016,2016.5,-0.5,0.51
11,Group 5,17,RRG,2018,2016.5,1.5,0.675
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735
12,Group 5,17,RRG,2018,2016.5,1.5,0.665
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225
12,Group 2,16,RRG,2016,2016.5,-0.5,0.728
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
12,Group 2,16,RRG,2015,2016.5,-1.5,0.728
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567
11,Group 2,16,RRG,2018,2016.5,1.5,0.675
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225
11,Group 2,16,RRG,2018,2016.5,1.5,0.675
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24
6,Group 2,16,RRG,2016,2016.5,-0.5,0.12
11,Group 2,16,RRG,2018,2016.5,1.5,0.675
6,Group 2,16,RRG,2015,2016.5,-1.5,0.12
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24
11,Group 2,16,RRG,2018,2016.5,1.5,0.63
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24
10,Group 2,16,RRG,2016,2016.5,-0.5,0.486
12,Group 2,16,RRG,2018,2016.5,1.5,0.76
10,Group 2,16,RRG,2015,2016.5,-1.5,0.486
8,Group 2,16,RRG,2016,2016.5,-0.5,0.3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
8,Group 2,16,RRG,2015,2016.5,-1.5,0.3
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567
12,Group 2,16,RRG,2018,2016.5,1.5,0.76
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06
11,Group 2,16,RRG,2018,2016.5,1.5,0.72
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06
3,Group 2,16,RRG,2016,2016.5,-0.5,0.015
11,Group 2,16,RRG,2018,2016.5,1.5,0.5525
3,Group 2,16,RRG,2015,2016.5,-1.5,0.015
4,Group 2,16,RRG,2016,2016.5,-0.5,0.03
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
4,Group 2,16,RRG,2015,2016.5,-1.5,0.03
10,Group 2,16,RRG,2016,2016.5,-0.5,0.6
11,Group 2,16,RRG,2018,2016.5,1.5,0.675
10,Group 2,16,RRG,2015,2016.5,-1.5,0.6
9,Group 2,16,RRG,2016,2016.5,-0.5,0.35
11,Group 2,16,RRG,2018,2016.5,1.5,0.675
9,Group 2,16,RRG,2015,2016.5,-1.5,0.35
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06
11,Group 2,16,RRG,2018,2016.5,1.5,0.475
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06
9,Group 2,16,RRG,2016,2016.5,-0.5,0.35
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
9,Group 2,16,RRG,2015,2016.5,-1.5,0.35
7,Group 2,16,RRG,2016,2016.5,-0.5,0.15
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
7,Group 2,16,RRG,2015,2016.5,-1.5,0.15
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06
8,Group 2,16,RRG,2016,2016.5,-0.5,0.195
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125
8,Group 2,16,RRG,2015,2016.5,-1.5,0.195
11,Group 2,16,RRG,2018,2016.5,1.5,0.68
7,Group 2,16,RRG,2016,2016.5,-0.5,0.13
7,Group 2,16,RRG,2015,2016.5,-1.5,0.13
8,Group 2,16,RRG,2016,2016.5,-0.5,0.195
12,Group 2,16,RRG,2018,2016.5,1.5,0.665
8,Group 2,16,RRG,2015,2016.5,-1.5,0.195
8,Group 2,16,RRG,2016,2016.5,-0.5,0.32
11,Group 2,16,RRG,2018,2016.5,1.5,0.6375
8,Group 2,16,RRG,2015,2016.5,-1.5,0.32
2,Group 2,16,RRG,2016,2016.5,-0.5,0.005
9,Group 2,16,RRG,2018,2016.5,1.5,0.4125
2,Group 2,16,RRG,2015,2016.5,-1.5,0.005
10,Group 2,16,RRG,2016,2016.5,-0.5,0.3825
10,Group 2,16,RRG,2018,2016.5,1.5,0.54
10,Group 2,16,RRG,2015,2016.5,-1.5,0.3825
9,Group 2,16,RRG,2016,2016.5,-0.5,0.3375
13,Group 2,16,RRG,2018,2016.5,1.5,0.8075
9,Group 2,16,RRG,2015,2016.5,-1.5,0.3375
6,Group 2,16,RRG,2016,2016.5,-0.5,0.1
10,Group 2,16,RRG,2018,2016.5,1.5,0.56
6,Group 2,16,RRG,2015,2016.5,-1.5,0.1
12,Group 5,17,RRG,2016,2016.5,-0.5,0.61
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
12,Group 5,17,RRG,2015,2016.5,-1.5,0.61
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735
12,Group 5,17,RRG,2018,2016.5,1.5,0.76
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7
11,Group 5,17,RRG,2018,2016.5,1.5,0.63
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7371
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7371
12,Group 5,17,RRG,2018,2016.5,1.5,0.75
10,Group 5,17,RRG,2015,2016.5,-1.5,0.427
10,Group 5,17,RRG,2016,2016.5,-0.5,0.427
12,Group 5,17,RRG,2018,2016.5,1.5,0.765
10,Group 5,17,RRG,2015,2016.5,-1.5,0.49
10,Group 5,17,RRG,2016,2016.5,-0.5,0.49
12,Group 5,17,RRG,2018,2016.5,1.5,0.765
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225
12,Group 5,17,RRG,2018,2016.5,1.5,0.7225
11,Group 5,17,RRG,2018,2016.5,1.5,0.72
12,Group 5,17,RRG,2015,2016.5,-1.5,0.6561
12,Group 5,17,RRG,2016,2016.5,-0.5,0.6561
11,Group 5,17,RRG,2015,2016.5,-1.5,0.4941
11,Group 5,17,RRG,2016,2016.5,-0.5,0.4941
11,Group 5,17,RRG,2018,2016.5,1.5,0.6375
9,Group 5,17,RRG,2015,2016.5,-1.5,0.4
9,Group 5,17,RRG,2016,2016.5,-0.5,0.4
9,Group 5,17,RRG,2018,2016.5,1.5,0.3575
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
8,Group 5,17,RRG,2015,2016.5,-1.5,0.08
8,Group 5,17,RRG,2016,2016.5,-0.5,0.08
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637
12,Group 5,17,RRG,2018,2016.5,1.5,0.75
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637
12,Group 5,17,RRG,2018,2016.5,1.5,0.665
10,Group 5,17,RRG,2015,2016.5,-1.5,0.51
10,Group 5,17,RRG,2016,2016.5,-0.5,0.51
12,Group 5,17,RRG,2018,2016.5,1.5,0.665
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
11,Group 5,17,RRG,2015,2016.5,-1.5,0.648
11,Group 5,17,RRG,2016,2016.5,-0.5,0.648
12,Group 5,17,RRG,2018,2016.5,1.5,0.76
10,Group 5,17,RRG,2015,2016.5,-1.5,0.56
10,Group 5,17,RRG,2016,2016.5,-0.5,0.56
11,Group 5,17,RRG,2018,2016.5,1.5,0.675
10,Group 5,17,RRG,2015,2016.5,-1.5,0.56
10,Group 5,17,RRG,2016,2016.5,-0.5,0.56
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125
9,Group 5,17,RRG,2015,2016.5,-1.5,0.42
9,Group 5,17,RRG,2016,2016.5,-0.5,0.42
11,Group 5,17,RRG,2018,2016.5,1.5,0.675
11,Group 5,17,RRG,2015,2016.5,-1.5,0.63
11,Group 5,17,RRG,2016,2016.5,-0.5,0.63
10,Group 5,17,RRG,2018,2016.5,1.5,0.495
12,Group 5,17,RRG,2015,2016.5,-1.5,0.5915
12,Group 5,17,RRG,2016,2016.5,-0.5,0.5915
12,Group 5,17,RRG,2018,2016.5,1.5,0.76
11,Group 5,17,RRG,2015,2016.5,-1.5,0.595
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225
12,Group 5,17,RRG,2018,2016.5,1.5,0.76
10,Group 2,19,BB,2015,2016.5,-1.5,0.525
10,Group 2,19,BB,2016,2016.5,-0.5,0.525
11,Group 2,19,BB,2018,2016.5,1.5,0.675
3,Group 2,19,BB,2015,2016.5,-1.5,0.015
3,Group 2,19,BB,2016,2016.5,-0.5,0.015
6,Group 2,19,BB,2018,2016.5,1.5,0.0325
8,Group 2,19,BB,2015,2016.5,-1.5,0.36
8,Group 2,19,BB,2016,2016.5,-0.5,0.36
5,Group 1,2,BB,2015,2016.5,-1.5,0.06
5,Group 1,2,BB,2016,2016.5,-0.5,0.06
10,Group 1,2,BB,2018,2016.5,1.5,0.6
8,Group 1,2,BB,2015,2016.5,-1.5,0.36
8,Group 1,2,BB,2016,2016.5,-0.5,0.36
9,Group 1,2,BB,2015,2016.5,-1.5,0.35
9,Group 1,2,BB,2016,2016.5,-0.5,0.35
12,Group 1,2,BB,2018,2016.5,1.5,0.7225
11,Group 1,2,BB,2015,2016.5,-1.5,0.546
11,Group 1,2,BB,2016,2016.5,-0.5,0.546
12,Group 1,2,BB,2018,2016.5,1.5,0.76
7,Group 1,2,BB,2015,2016.5,-1.5,0.15
7,Group 1,2,BB,2016,2016.5,-0.5,0.15
10,Group 1,2,BB,2018,2016.5,1.5,0.56
7,Group 1,2,BB,2015,2016.5,-1.5,0.2
7,Group 1,2,BB,2016,2016.5,-0.5,0.2
10,Group 1,2,BB,2018,2016.5,1.5,0.64
2,Group 2,3,Cooba,2015,2016.5,-1.5,0.0025
2,Group 2,3,Cooba,2016,2016.5,-0.5,0.0025
4,Group 2,3,Cooba,2018,2016.5,1.5,0.015
12,Group 2,3,Cooba,2015,2016.5,-1.5,0.6825
12,Group 2,3,Cooba,2016,2016.5,-0.5,0.6825
11,Group 2,3,Cooba,2018,2016.5,1.5,0.57
10,Group 2,3,Cooba,2015,2016.5,-1.5,0.364
10,Group 2,3,Cooba,2016,2016.5,-0.5,0.364
