residual,TCI,time,HydroGp,Transect,Species,standResid
-0.0066804551901900044,11,-0.5,Group 5,17,RRG,-0.06993408884450936
0.014882266212700834,12,1.5,Group 5,17,RRG,0.2900237478070677
-0.04914102640068507,10,-1.5,Group 5,17,RRG,-0.5144309494452496
-0.0781090266187614,10,-0.5,Group 5,17,RRG,-0.8176813482913644
-0.05654630521587056,11,1.5,Group 5,17,RRG,-1.1019673434784558
0.16514468788502923,13,-1.5,Group 5,17,RRG,1.7288108288953166
0.1361766876669529,13,-0.5,Group 5,17,RRG,1.425560430049202
0.014882266212700834,12,1.5,Group 5,17,RRG,0.2900237478070677
0.09371611645645772,12,-1.5,Group 5,17,RRG,0.9810635694484604
0.26024257160998365,12,-0.5,Group 2,16,RRG,1.5265124649804473
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.37413274347528536,12,-1.5,Group 2,16,RRG,2.194561377637591
0.18881400018141226,11,-0.5,Group 2,16,RRG,1.107531804103526
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
0.30270417204671396,11,-1.5,Group 2,16,RRG,1.77558071676067
-0.09690028553287344,7,-0.5,Group 2,16,RRG,-0.56839083940416
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.01698988633242826,7,-1.5,Group 2,16,RRG,0.09965807325298398
-0.2397574283900163,5,-0.5,Group 2,16,RRG,-1.406352161158003
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
-0.1258672565247146,5,-1.5,Group 2,16,RRG,-0.738303248500859
-0.025471714104302046,8,-0.5,Group 2,16,RRG,-0.14941017852723865
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.08841845776099966,8,-1.5,Group 2,16,RRG,0.5186387341299054
-0.025471714104302046,8,-0.5,Group 2,16,RRG,-0.14941017852723865
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
0.08841845776099966,8,-1.5,Group 2,16,RRG,0.5186387341299054
-0.09690028553287344,7,-0.5,Group 2,16,RRG,-0.56839083940416
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.01698988633242826,7,-1.5,Group 2,16,RRG,0.09965807325298398
-0.1683288569614449,6,-0.5,Group 2,16,RRG,-0.9873715002810817
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
-0.05443868509614319,6,-1.5,Group 2,16,RRG,-0.3193225876239377
-0.09690028553287344,7,-0.5,Group 2,16,RRG,-0.56839083940416
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
0.01698988633242826,7,-1.5,Group 2,16,RRG,0.09965807325298398
0.11738542875284086,10,-0.5,Group 2,16,RRG,0.6885511432266047
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.23127560061814256,10,-1.5,Group 2,16,RRG,1.3566000558837488
-0.025471714104302046,8,-0.5,Group 2,16,RRG,-0.14941017852723865
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.08841845776099966,8,-1.5,Group 2,16,RRG,0.5186387341299054
0.18881400018141226,11,-0.5,Group 2,16,RRG,1.107531804103526
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.30270417204671396,11,-1.5,Group 2,16,RRG,1.77558071676067
-0.09690028553287344,7,-0.5,Group 2,16,RRG,-0.56839083940416
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.01698988633242826,7,-1.5,Group 2,16,RRG,0.09965807325298398
-0.2397574283900163,5,-0.5,Group 2,16,RRG,-1.406352161158003
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
-0.1258672565247146,5,-1.5,Group 2,16,RRG,-0.738303248500859
-0.38261457124715914,3,-0.5,Group 2,16,RRG,-2.244313482911846
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
-0.26872439938185744,3,-1.5,Group 2,16,RRG,-1.576264570254702
-0.31118599981858774,4,-0.5,Group 2,16,RRG,-1.8253328220349248
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
-0.19729582795328604,4,-1.5,Group 2,16,RRG,-1.1572839093777807
0.11738542875284086,10,-0.5,Group 2,16,RRG,0.6885511432266047
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
0.23127560061814256,10,-1.5,Group 2,16,RRG,1.3566000558837488
0.04595685732426946,9,-0.5,Group 2,16,RRG,0.26957048234968334
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
0.15984702918957117,9,-1.5,Group 2,16,RRG,0.9376193950068273
-0.2397574283900163,5,-0.5,Group 2,16,RRG,-1.406352161158003
-0.0024123082210050217,11,1.5,Group 2,16,RRG,-0.04132685844744358
-0.1258672565247146,5,-1.5,Group 2,16,RRG,-0.738303248500859
0.04595685732426946,9,-0.5,Group 2,16,RRG,0.26957048234968334
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.15984702918957117,9,-1.5,Group 2,16,RRG,0.9376193950068273
-0.09690028553287344,7,-0.5,Group 2,16,RRG,-0.56839083940416
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
0.01698988633242826,7,-1.5,Group 2,16,RRG,0.09965807325298398
-0.2397574283900163,5,-0.5,Group 2,16,RRG,-1.406352161158003
0.06901626320756638,12,1.5,Group 2,16,RRG,1.1823635617186197
-0.1258672565247146,5,-1.5,Group 2,16,RRG,-0.738303248500859
-0.025471714104302046,8,-0.5,Group 2,16,RRG,-0.14941017852723865
