time,Year,Species,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
1.5,2018,BB,Group 2,4000,4000,10,9.887,6,13,7,10 (6 to 13)
1.5,2018,BB,Group 1,4000,4000,11,10.585,8,13,5,11 (8 to 13)
1.5,2018,BB,Group 3,4000,4000,10,10.27275,7,13,6,10 (7 to 13)
1.5,2018,Cooba,Group 2,4000,4000,10,9.4775,6,13,7,10 (6 to 13)
1.5,2018,Cooba,Group 3,4000,4000,11,10.36775,7,13,6,11 (7 to 13)
1.5,2018,RRG,Group 2,4000,4000,11,11.05125,8,14,6,11 (8 to 14)
1.5,2018,RRG,Group 3,4000,4000,11,10.54325,7,14,7,11 (7 to 14)
1.5,2018,RRG,Group 5,4000,4000,10,10.18375,6,13,7,10 (6 to 13)
