residual,TCI,time,HYDRO_GP,Transect,Species,standResid
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
0.022667573135022212,10,1.5,Group 3,21,RRG,0.2286418263141875
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
0.23282201108666845,11,-1.5,Group 3,21,RRG,2.0999843545054087
0.1844328068922534,11,-0.5,Group 3,21,RRG,1.6635283198678066
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
-0.1243208460561887,6,-1.5,Group 3,21,RRG,-1.1213365542130258
-0.17271005025060376,6,-0.5,Group 3,21,RRG,-1.5577925888506279
-0.1916181411506921,7,1.5,Group 3,21,RRG,-1.9328016054763717
0.018536296800954144,8,-1.5,Group 3,21,RRG,0.1671918092743478
-0.029852907393460915,8,-0.5,Group 3,21,RRG,-0.2692642253632542
0.022667573135022212,10,1.5,Group 3,21,RRG,0.2286418263141875
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
-0.048760998293549185,9,1.5,Group 3,21,RRG,-0.49183931761599853
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
-0.12018956972212069,8,1.5,Group 3,21,RRG,-1.2123204615461858
0.16139343965809705,10,-1.5,Group 3,21,RRG,1.455720172761722
0.11300423546368199,10,-0.5,Group 3,21,RRG,1.0192641381241199
-0.048760998293549185,9,1.5,Group 3,21,RRG,-0.49183931761599853
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
-0.048760998293549185,9,1.5,Group 3,21,RRG,-0.49183931761599853
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
0.022667573135022212,10,1.5,Group 3,21,RRG,0.2286418263141875
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
