residual,Extent,time,HydroGp,Transect,Species,standResid
0.0017879518010912587,0.85,-0.5,Group 5,17,RRG,0.016180251994150015
0.06891292277882388,0.95,1.5,Group 5,17,RRG,0.8803961095946273
0.02085401419671362,0.85,-1.5,Group 5,17,RRG,0.18872052623927857
0.0017879518010912587,0.85,-0.5,Group 5,17,RRG,0.016180251994150015
0.01891292277882395,0.9,1.5,Group 5,17,RRG,0.24162178825270816
0.08085401419671367,0.91,-1.5,Group 5,17,RRG,0.7316966394971831
0.06178795180109131,0.91,-0.5,Group 5,17,RRG,0.5591563652520546
0.06891292277882388,0.95,1.5,Group 5,17,RRG,0.8803961095946273
0.02085401419671362,0.85,-1.5,Group 5,17,RRG,0.18872052623927857
0.25950191459389615,0.91,-0.5,Group 2,16,RRG,1.1475636925648482
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.3901484988457711,0.91,-1.5,Group 2,16,RRG,1.7253061607839735
0.15950191459389618,0.81,-0.5,Group 2,16,RRG,0.7053458791199219
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
0.2901484988457711,0.81,-1.5,Group 2,16,RRG,1.2830883473390469
-0.0504980854061039,0.6,-0.5,Group 2,16,RRG,-0.22331152911442423
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.08014849884577102,0.6,-1.5,Group 2,16,RRG,0.3544309391047008
-0.3504980854061039,0.3,-0.5,Group 2,16,RRG,-1.549964969449204
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
-0.21985150115422897,0.3,-1.5,Group 2,16,RRG,-0.9722225012300788
-0.20049808540610387,0.45,-0.5,Group 2,16,RRG,-0.8866382492818139
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
-0.06985150115422895,0.45,-1.5,Group 2,16,RRG,-0.3088957810626889
-0.20049808540610387,0.45,-0.5,Group 2,16,RRG,-0.8866382492818139
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
-0.06985150115422895,0.45,-1.5,Group 2,16,RRG,-0.3088957810626889
-0.0504980854061039,0.6,-0.5,Group 2,16,RRG,-0.22331152911442423
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.08014849884577102,0.6,-1.5,Group 2,16,RRG,0.3544309391047008
-0.0504980854061039,0.6,-0.5,Group 2,16,RRG,-0.22331152911442423
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
0.08014849884577102,0.6,-1.5,Group 2,16,RRG,0.3544309391047008
-0.0504980854061039,0.6,-0.5,Group 2,16,RRG,-0.22331152911442423
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
0.08014849884577102,0.6,-1.5,Group 2,16,RRG,0.3544309391047008
0.15950191459389618,0.81,-0.5,Group 2,16,RRG,0.7053458791199219
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.2901484988457711,0.81,-1.5,Group 2,16,RRG,1.2830883473390469
0.09950191459389612,0.75,-0.5,Group 2,16,RRG,0.4400151910529657
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.23014849884577104,0.75,-1.5,Group 2,16,RRG,1.0177576592720907
0.15950191459389618,0.81,-0.5,Group 2,16,RRG,0.7053458791199219
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.2901484988457711,0.81,-1.5,Group 2,16,RRG,1.2830883473390469
-0.0504980854061039,0.6,-0.5,Group 2,16,RRG,-0.22331152911442423
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.08014849884577102,0.6,-1.5,Group 2,16,RRG,0.3544309391047008
-0.3504980854061039,0.3,-0.5,Group 2,16,RRG,-1.549964969449204
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
-0.21985150115422897,0.3,-1.5,Group 2,16,RRG,-0.9722225012300788
-0.5004980854061039,0.15,-0.5,Group 2,16,RRG,-2.2132916896165935
0.003840384769281724,0.85,1.5,Group 2,16,RRG,0.04868951071076189
-0.36985150115422893,0.15,-1.5,Group 2,16,RRG,-1.6355492213974685
-0.45049808540610387,0.2,-0.5,Group 2,16,RRG,-1.9921827828941303
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
-0.31985150115422895,0.2,-1.5,Group 2,16,RRG,-1.4144403146750053
0.14950191459389617,0.8,-0.5,Group 2,16,RRG,0.6611240977754292
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
0.2801484988457711,0.8,-1.5,Group 2,16,RRG,1.2388665659945541
0.04950191459389608,0.7,-0.5,Group 2,16,RRG,0.21890628433050224
0.05384038476928177,0.9,1.5,Group 2,16,RRG,0.6826039963140944
0.180148498845771,0.7,-1.5,Group 2,16,RRG,0.7966487525496273
-0.3504980854061039,0.3,-0.5,Group 2,16,RRG,-1.549964969449204
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
-0.21985150115422897,0.3,-1.5,Group 2,16,RRG,-0.9722225012300788
0.04950191459389608,0.7,-0.5,Group 2,16,RRG,0.21890628433050224
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.180148498845771,0.7,-1.5,Group 2,16,RRG,0.7966487525496273
0.09950191459389612,0.75,-0.5,Group 2,16,RRG,0.4400151910529657
0.1038403847692817,0.95,1.5,Group 2,16,RRG,1.3165184819174256
0.23014849884577104,0.75,-1.5,Group 2,16,RRG,1.0177576592720907
