time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
1.5,2018,BB,Group 2,4e3,4e3,0.75,0.72,0.39,0.97,0.58,0.58 (0.39 to 0.97)
1.5,2018,BB,Group 1,4e3,4e3,0.8,0.77,0.46,0.98,0.51,0.51 (0.46 to 0.98)
1.5,2018,BB,Group 3,4e3,4e3,0.79,0.75,0.43,0.98,0.54,0.54 (0.43 to 0.98)
1.5,2018,Cooba,Group 2,4e3,4e3,0.83,0.79,0.47,0.99,0.52,0.52 (0.47 to 0.99)
1.5,2018,Cooba,Group 3,4e3,4e3,0.92,0.87,0.58,1,0.42,0.42 (0.58 to 1)
1.5,2018,RRG,Group 2,4e3,4e3,0.89,0.84,0.53,1,0.46,0.46 (0.53 to 1)
1.5,2018,RRG,Group 3,4e3,4e3,0.82,0.77,0.42,0.99,0.57,0.57 (0.42 to 0.99)
1.5,2018,RRG,Group 5,4e3,4e3,0.89,0.84,0.49,1,0.51,0.51 (0.49 to 1)
