TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.15
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.15
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.06
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.06
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.195
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.195
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.68
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.13
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.13
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.195
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.195
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.32
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.6375
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.32
2,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.005
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.4125
2,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.005
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.3825
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.54
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.3825
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.3375
13,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.8075
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.3375
6,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.1
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.56
6,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.1
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.61
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.61
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7735
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7735
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.63
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7371
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7371
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.75
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.427
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.427
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.765
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.49
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.49
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.765
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7225
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7225
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7225
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.72
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.6561
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.6561
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.4941
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.4941
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.6375
9,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.4
9,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.4
9,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.3575
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7225
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7225
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
8,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.08
8,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.08
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.75
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.51
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.51
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7735
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7735
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.637
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.405
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.405
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.405
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.405
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.405
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.405
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.648
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.648
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.56
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.56
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.56
