residual,TCI,time,HydroGp,Transect,Species,standResid
-0.010000171072097608,11,-0.5,Group 5,17,RRG,-0.1046864071842499
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.0504136414420977,10,-1.5,Group 5,17,RRG,-0.5277532711789096
-0.081428742500669,10,-0.5,Group 5,17,RRG,-0.852433666631105
-0.06266266322672187,11,1.5,Group 5,17,RRG,-1.2211621655495062
0.1638720728436166,13,-1.5,Group 5,17,RRG,1.7154885071616566
0.1328569717850453,13,-0.5,Group 5,17,RRG,1.3908081117094613
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.25934250161888084,12,-0.5,Group 2,16,RRG,1.521232898104539
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.3766052947845101,12,-1.5,Group 2,16,RRG,2.2090646941798666
0.18791393019030944,11,-0.5,Group 2,16,RRG,1.1022522372276178
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.3051767233559387,11,-1.5,Group 2,16,RRG,1.7900840333029453
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
-0.2406574983811191,5,-0.5,Group 2,16,RRG,-1.4116317280339115
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
-0.12339470521548984,5,-1.5,Group 2,16,RRG,-0.7237999319585839
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
-0.1692289269525477,6,-0.5,Group 2,16,RRG,-0.99265106715699
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
-0.051966133786918445,6,-1.5,Group 2,16,RRG,-0.30481927108166257
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
0.11648535876173804,10,-0.5,Group 2,16,RRG,0.6832715763506964
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.2337481519273673,10,-1.5,Group 2,16,RRG,1.3711033724260238
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
0.18791393019030944,11,-0.5,Group 2,16,RRG,1.1022522372276178
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.3051767233559387,11,-1.5,Group 2,16,RRG,1.7900840333029453
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
-0.2406574983811191,5,-0.5,Group 2,16,RRG,-1.4116317280339115
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
-0.12339470521548984,5,-1.5,Group 2,16,RRG,-0.7237999319585839
-0.38351464123826196,3,-0.5,Group 2,16,RRG,-2.2495930497877543
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
-0.2662518480726327,3,-1.5,Group 2,16,RRG,-1.561761253712427
-0.31208606980969056,4,-0.5,Group 2,16,RRG,-1.830612388910833
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
-0.1948232766440613,4,-1.5,Group 2,16,RRG,-1.1427805928355057
0.11648535876173804,10,-0.5,Group 2,16,RRG,0.6832715763506964
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.2337481519273673,10,-1.5,Group 2,16,RRG,1.3711033724260238
0.04505678733316665,9,-0.5,Group 2,16,RRG,0.264290915473775
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.1623195804987959,9,-1.5,Group 2,16,RRG,0.9521227115491024
-0.2406574983811191,5,-0.5,Group 2,16,RRG,-1.4116317280339115
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
-0.12339470521548984,5,-1.5,Group 2,16,RRG,-0.7237999319585839
0.04505678733316665,9,-0.5,Group 2,16,RRG,0.264290915473775
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.1623195804987959,9,-1.5,Group 2,16,RRG,0.9521227115491024
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
-0.2406574983811191,5,-0.5,Group 2,16,RRG,-1.4116317280339115
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
-0.12339470521548984,5,-1.5,Group 2,16,RRG,-0.7237999319585839
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
-0.09780035552397626,7,-0.5,Group 2,16,RRG,-0.5736704062800684
0.019462437641653008,7,-1.5,Group 2,16,RRG,0.11416138979525912
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
0.06388057913818823,12,1.5,Group 2,16,RRG,1.0943807381648545
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
-0.02637178409540486,8,-0.5,Group 2,16,RRG,-0.15468974540314703
-0.007547992290383165,11,1.5,Group 2,16,RRG,-0.1293096820012086
0.0908910090702244,8,-1.5,Group 2,16,RRG,0.5331420506721805
-0.4549432126668334,2,-0.5,Group 2,16,RRG,-2.6685737106646763
-0.15040513514752596,9,1.5,Group 2,16,RRG,-2.576690522333335
-0.33768041950120414,2,-1.5,Group 2,16,RRG,-1.9807419145893486
0.11648535876173804,10,-0.5,Group 2,16,RRG,0.6832715763506964
-0.07897656371895456,10,1.5,Group 2,16,RRG,-1.3530001021672717
0.2337481519273673,10,-1.5,Group 2,16,RRG,1.3711033724260238
0.04505678733316665,9,-0.5,Group 2,16,RRG,0.264290915473775
0.13530915056675974,13,1.5,Group 2,16,RRG,2.3180711583309197
0.1623195804987959,9,-1.5,Group 2,16,RRG,0.9521227115491024
-0.1692289269525477,6,-0.5,Group 2,16,RRG,-0.99265106715699
-0.07897656371895456,10,1.5,Group 2,16,RRG,-1.3530001021672717
-0.051966133786918445,6,-1.5,Group 2,16,RRG,-0.30481927108166257
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.1638720728436166,13,-1.5,Group 5,17,RRG,1.7154885071616566
0.1328569717850453,13,-0.5,Group 5,17,RRG,1.3908081117094613
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
-0.06266266322672187,11,1.5,Group 5,17,RRG,-1.2211621655495062
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.1638720728436166,13,-1.5,Group 5,17,RRG,1.7154885071616566
0.1328569717850453,13,-0.5,Group 5,17,RRG,1.3908081117094613
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.0504136414420977,10,-1.5,Group 5,17,RRG,-0.5277532711789096
-0.081428742500669,10,-0.5,Group 5,17,RRG,-0.852433666631105
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.0504136414420977,10,-1.5,Group 5,17,RRG,-0.5277532711789096
-0.081428742500669,10,-0.5,Group 5,17,RRG,-0.852433666631105
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.06266266322672187,11,1.5,Group 5,17,RRG,-1.2211621655495062
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.021014929986473696,11,-1.5,Group 5,17,RRG,0.21999398826794547
-0.010000171072097608,11,-0.5,Group 5,17,RRG,-0.1046864071842499
-0.06266266322672187,11,1.5,Group 5,17,RRG,-1.2211621655495062
-0.1218422128706691,9,-1.5,Group 5,17,RRG,-1.2755005306257645
-0.1528573139292404,9,-0.5,Group 5,17,RRG,-1.60018092607796
-0.20551980608386466,9,1.5,Group 5,17,RRG,-4.005144348120553
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.1932707842992406,8,-1.5,Group 5,17,RRG,-2.0232477900726207
-0.2242858853578119,8,-0.5,Group 5,17,RRG,-2.347928185524816
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.09244350141504509,12,-1.5,Group 5,17,RRG,0.9677412477148005
0.06142840035647379,12,-0.5,Group 5,17,RRG,0.6430608522626051
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
-0.0504136414420977,10,-1.5,Group 5,17,RRG,-0.5277532711789096
-0.081428742500669,10,-0.5,Group 5,17,RRG,-0.852433666631105
0.008765908201849526,12,1.5,Group 5,17,RRG,0.1708289257360175
0.1638720728436166,13,-1.5,Group 5,17,RRG,1.7154885071616566
0.1328569717850453,13,-0.5,Group 5,17,RRG,1.3908081117094613
