residual,mTCI,time,HydroGp,Transect,Species,standResid
0.002987556157673321,0.595,-0.5,Group 5,17,RRG,0.019443409502145438
-0.0077573310067954315,0.7125,1.5,Group 5,17,RRG,-0.09286525048168617
-0.01789000026009213,0.51,-1.5,Group 5,17,RRG,-0.11643048120017804
-0.08201244384232664,0.51,-0.5,Group 5,17,RRG,-0.5337478011258281
-0.04525733100679541,0.675,1.5,Group 5,17,RRG,-0.54178858377926
0.24560999973990782,0.7735,-1.5,Group 5,17,RRG,1.5984622717465407
0.1814875561576733,0.7735,-0.5,Group 5,17,RRG,1.1811449518208903
-0.05525733100679542,0.665,1.5,Group 5,17,RRG,-0.6615014726586131
0.1946099997399079,0.7225,-1.5,Group 5,17,RRG,1.2665475453697568
0.38753899850925133,0.728,-0.5,Group 2,16,RRG,2.046810230742907
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
0.5340916972719194,0.728,-1.5,Group 2,16,RRG,2.820837010819988
0.2265389985092513,0.567,-0.5,Group 2,16,RRG,1.1964791713727843
0.04143360098391513,0.675,1.5,Group 2,16,RRG,0.50028732878274
0.37309169727191943,0.567,-1.5,Group 2,16,RRG,1.9705059514498655
-0.10046100149074866,0.24,-0.5,Group 2,16,RRG,-0.5305907442423091
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
0.046091697271919474,0.24,-1.5,Group 2,16,RRG,0.2434360358347719
-0.28046100149074865,0.06,-0.5,Group 2,16,RRG,-1.4812714317368558
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
-0.13390830272808052,0.06,-1.5,Group 2,16,RRG,-0.7072446516597751
-0.11546100149074864,0.225,-0.5,Group 2,16,RRG,-0.6098141348668545
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
0.03109169727191949,0.225,-1.5,Group 2,16,RRG,0.1642126452102264
-0.11546100149074864,0.225,-0.5,Group 2,16,RRG,-0.6098141348668545
0.04143360098391513,0.675,1.5,Group 2,16,RRG,0.50028732878274
0.03109169727191949,0.225,-1.5,Group 2,16,RRG,0.1642126452102264
-0.10046100149074866,0.24,-0.5,Group 2,16,RRG,-0.5305907442423091
0.03143360098391512,0.665,1.5,Group 2,16,RRG,0.379542977120678
0.046091697271919474,0.24,-1.5,Group 2,16,RRG,0.2434360358347719
-0.22046100149074865,0.12,-0.5,Group 2,16,RRG,-1.1643778692386737
0.04143360098391513,0.675,1.5,Group 2,16,RRG,0.50028732878274
-0.07390830272808052,0.12,-1.5,Group 2,16,RRG,-0.3903510891615928
-0.10046100149074866,0.24,-0.5,Group 2,16,RRG,-0.5305907442423091
-0.003566399016084909,0.63,1.5,Group 2,16,RRG,-0.04306225369653876
0.046091697271919474,0.24,-1.5,Group 2,16,RRG,0.2434360358347719
0.14553899850925134,0.486,-0.5,Group 2,16,RRG,0.7686728620002383
0.1264336009839151,0.76,1.5,Group 2,16,RRG,1.5266143179102651
0.29209169727191947,0.486,-1.5,Group 2,16,RRG,1.5426996420773196
-0.04046100149074866,0.3,-0.5,Group 2,16,RRG,-0.2136971817441268
0.03143360098391512,0.665,1.5,Group 2,16,RRG,0.379542977120678
0.10609169727191947,0.3,-1.5,Group 2,16,RRG,0.5603295983329543
0.2265389985092513,0.567,-0.5,Group 2,16,RRG,1.1964791713727843
0.1264336009839151,0.76,1.5,Group 2,16,RRG,1.5266143179102651
0.37309169727191943,0.567,-1.5,Group 2,16,RRG,1.9705059514498655
-0.10046100149074866,0.24,-0.5,Group 2,16,RRG,-0.5305907442423091
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
0.046091697271919474,0.24,-1.5,Group 2,16,RRG,0.2434360358347719
-0.28046100149074865,0.06,-0.5,Group 2,16,RRG,-1.4812714317368558
0.08643360098391506,0.72,1.5,Group 2,16,RRG,1.0436369112620174
-0.13390830272808052,0.06,-1.5,Group 2,16,RRG,-0.7072446516597751
-0.32546100149074864,0.015,-0.5,Group 2,16,RRG,-1.7189416036104925
-0.08106639901608492,0.5525,1.5,Group 2,16,RRG,-0.9788309790775181
-0.1789083027280805,0.015,-1.5,Group 2,16,RRG,-0.9449148235334117
-0.3104610014907486,0.03,-0.5,Group 2,16,RRG,-1.6397182129859469
0.03143360098391512,0.665,1.5,Group 2,16,RRG,0.379542977120678
-0.16390830272808052,0.03,-1.5,Group 2,16,RRG,-0.8656914329088663
0.25953899850925133,0.6,-0.5,Group 2,16,RRG,1.3707706307467846
0.04143360098391513,0.675,1.5,Group 2,16,RRG,0.50028732878274
0.40609169727191946,0.6,-1.5,Group 2,16,RRG,2.144797410823866
0.009538998509251329,0.35,-0.5,Group 2,16,RRG,0.05038078700435839
0.04143360098391513,0.675,1.5,Group 2,16,RRG,0.50028732878274
0.15609169727191946,0.35,-1.5,Group 2,16,RRG,0.8244075670814395
-0.28046100149074865,0.06,-0.5,Group 2,16,RRG,-1.4812714317368558
-0.15856639901608494,0.475,1.5,Group 2,16,RRG,-1.9145997044584975
-0.13390830272808052,0.06,-1.5,Group 2,16,RRG,-0.7072446516597751
0.009538998509251329,0.35,-0.5,Group 2,16,RRG,0.05038078700435839
0.03143360098391512,0.665,1.5,Group 2,16,RRG,0.379542977120678
0.15609169727191946,0.35,-1.5,Group 2,16,RRG,0.8244075670814395
-0.19046100149074865,0.15,-0.5,Group 2,16,RRG,-1.0059310879895824
0.07893360098391511,0.7125,1.5,Group 2,16,RRG,0.9530786475154716
-0.04390830272808052,0.15,-1.5,Group 2,16,RRG,-0.23190430791250158
