time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
1.5,2018,BB,Group 2,4e3,4e3,0.574,0.573,0.277,0.869,0.592,0.592110105653565 (0.276728233428849 to 0.868838339082414)
1.5,2018,BB,Group 1,4e3,4e3,0.627,0.623,0.345,0.893,0.548,0.547861819780778 (0.345038297753224 to 0.892900117534002)
1.5,2018,BB,Group 3,4e3,4e3,0.577,0.581,0.291,0.886,0.595,0.595194677786405 (0.291300058945955 to 0.886494736732359)
1.5,2018,Cooba,Group 2,4e3,4e3,0.442,0.444,0.151,0.741,0.59,0.589896241848179 (0.151049720628571 to 0.74094596247675)
1.5,2018,Cooba,Group 3,4e3,4e3,0.59,0.589,0.249,0.926,0.677,0.67668881621859 (0.249033187038617 to 0.925722003257207)
1.5,2018,RRG,Group 2,4e3,4e3,0.629,0.633,0.321,0.957,0.636,0.636456415771409 (0.320678703237281 to 0.95713511900869)
1.5,2018,RRG,Group 3,4e3,4e3,0.582,0.582,0.233,0.935,0.703,0.70272092002092 (0.232764756536826 to 0.935485676557745)
1.5,2018,RRG,Group 5,4e3,4e3,0.616,0.617,0.243,0.997,0.754,0.75399941958346 (0.242767309561722 to 0.996766729145182)
