mTCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,TCI
0.15,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.15,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.06,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,5
0.665,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.06,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,5
0.195,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.195,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.68,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.13,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.13,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.195,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.665,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.195,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.32,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.6375,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.32,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.005,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,2
0.4125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.005,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,2
0.3825,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.54,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.3825,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.3375,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.8075,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,13
0.3375,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.1,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,6
0.56,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.1,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,6
0.61,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.61,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,13
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,13
0.76,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.7,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.63,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.7,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.7371,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,13
0.7371,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,13
0.75,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.427,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.427,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.765,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.49,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.49,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.765,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.72,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.6561,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.6561,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.4941,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
