mTCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,TCI
0.6375,Group 1,15,Eucalyptus largiflorens,2018,2018,0,11
0.15,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,7
0.15,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,7
0.6375,Group 1,15,Eucalyptus largiflorens,2018,2018,0,11
0.12,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,6
0.6,Group 1,15,Eucalyptus largiflorens,2018,2018,0,10
0.12,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,6
0.49,Group 1,15,Eucalyptus largiflorens,2018,2018,0,10
0.35,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,9
0.35,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,9
0.6375,Group 1,15,Eucalyptus largiflorens,2018,2018,0,11
0.05,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,5
0.05,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,5
0.525,Group 1,15,Eucalyptus largiflorens,2018,2018,0,10
0.12,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,6
0.6,Group 1,15,Eucalyptus largiflorens,2018,2018,0,10
0.3321,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,10
0.3321,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,10
0.7125,Group 1,15,Eucalyptus largiflorens,2018,2018,0,12
0.3321,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,10
0.3321,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,10
0.675,Group 1,15,Eucalyptus largiflorens,2018,2018,0,11
0.16,Group 1,15,Eucalyptus largiflorens,2015,2018,-3,6
0.16,Group 1,15,Eucalyptus largiflorens,2016,2018,-2,6
0.6,Group 1,15,Eucalyptus largiflorens,2018,2018,0,10
0.42,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.42,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.24,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.6,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.12,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,6
0.64,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.2,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.2,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.525,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.64,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.36,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.6375,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.45,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.45,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.6375,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.36,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.25,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.25,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.5625,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,10
0.5625,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,10
0.8075,Group 3,7,Eucalyptus largiflorens,2018,2018,0,13
0.6561,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,12
0.6561,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,12
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
1,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,14
1,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,14
0.76,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.28,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.28,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.7225,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.42,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.7225,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.28,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.28,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.5625,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.16,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,6
0.16,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,6
0.35,Group 3,7,Eucalyptus largiflorens,2018,2018,0,9
0.36,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.7225,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.7371,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,13
0.7371,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,13
0.8075,Group 3,7,Eucalyptus largiflorens,2018,2018,0,13
0.637,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,12
0.637,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,12
0.765,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.175,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,7
0.175,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.4,Group 3,7,Eucalyptus largiflorens,2018,2018,0,9
0.28,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.28,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.6375,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,5
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,5
0.4125,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,5
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,5
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.6375,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.28,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.28,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.455,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,5
0.06,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,5
0.64,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.595,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.585,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.72,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.76,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.72,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.18,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.18,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.525,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.675,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.6075,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
0.6075,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.63,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.1,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,6
0.1,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,6
0.24,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,7
0.225,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.225,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.425,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.182,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.182,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.2125,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.2,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,8
0.364,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.364,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.2125,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.243,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.243,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.36,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.14,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.425,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.15,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.1625,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,8
0.182,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.182,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.0875,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,6
0.486,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.486,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.45,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.486,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.486,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.585,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.24,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.24,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.6375,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.35,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.72,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.42,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.42,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.68,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.42,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.42,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.6,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.21,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.21,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.675,Group 3,21,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.35,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.35,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.728,mixed,6,Acacia stenophylla,2015,2018,-3,12
0.728,mixed,6,Acacia stenophylla,2016,2018,-2,12
0.665,mixed,6,Acacia stenophylla,2018,2018,0,12
0.38,mixed,6,Acacia stenophylla,2015,2018,-3,10
0.38,mixed,6,Acacia stenophylla,2016,2018,-2,10
0.665,mixed,6,Acacia stenophylla,2018,2018,0,12
0.162,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.162,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.585,mixed,6,Acacia stenophylla,2018,2018,0,11
0.28,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.28,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.63,mixed,6,Acacia stenophylla,2018,2018,0,11
0.28,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.28,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.182,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.182,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.6175,mixed,6,Acacia stenophylla,2018,2018,0,12
0.243,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.243,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.6175,mixed,6,Acacia stenophylla,2018,2018,0,12
0.364,mixed,6,Acacia stenophylla,2015,2018,-3,10
0.364,mixed,6,Acacia stenophylla,2016,2018,-2,10
0.6175,mixed,6,Acacia stenophylla,2018,2018,0,12
0.21,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.21,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.585,mixed,6,Acacia stenophylla,2018,2018,0,11
0.405,mixed,6,Acacia stenophylla,2015,2018,-3,10
0.405,mixed,6,Acacia stenophylla,2016,2018,-2,10
0.585,mixed,6,Acacia stenophylla,2018,2018,0,11
0.455,mixed,6,Acacia stenophylla,2015,2018,-3,11
0.455,mixed,6,Acacia stenophylla,2016,2018,-2,11
0.57,mixed,6,Acacia stenophylla,2018,2018,0,11
0.486,mixed,6,Acacia stenophylla,2015,2018,-3,10
0.486,mixed,6,Acacia stenophylla,2016,2018,-2,10
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.162,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.162,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.585,mixed,6,Acacia stenophylla,2018,2018,0,11
0.243,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.243,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.486,mixed,6,Acacia stenophylla,2015,2018,-3,10
0.486,mixed,6,Acacia stenophylla,2016,2018,-2,10
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.04,mixed,6,Acacia stenophylla,2015,2018,-3,4
0.04,mixed,6,Acacia stenophylla,2016,2018,-2,4
0.11,mixed,6,Acacia stenophylla,2018,2018,0,6
0.12,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.12,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.57,mixed,6,Acacia stenophylla,2018,2018,0,11
0.105,mixed,6,Acacia stenophylla,2015,2018,-3,7
0.105,mixed,6,Acacia stenophylla,2016,2018,-2,7
0.585,mixed,6,Acacia stenophylla,2018,2018,0,11
0.07,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.07,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.6175,mixed,6,Acacia stenophylla,2018,2018,0,12
0.1,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.1,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.595,mixed,6,Acacia stenophylla,2018,2018,0,11
0.28,mixed,6,Acacia stenophylla,2015,2018,-3,8
0.28,mixed,6,Acacia stenophylla,2016,2018,-2,8
0.54,mixed,6,Acacia stenophylla,2018,2018,0,10
0.05,mixed,6,Acacia stenophylla,2015,2018,-3,5
0.05,mixed,6,Acacia stenophylla,2016,2018,-2,5
0.5525,mixed,6,Acacia stenophylla,2018,2018,0,11
0.1,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.1,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.4675,mixed,6,Acacia stenophylla,2018,2018,0,10
0.45,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.45,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.5225,mixed,6,Acacia stenophylla,2018,2018,0,11
0.45,mixed,6,Acacia stenophylla,2015,2018,-3,9
0.45,mixed,6,Acacia stenophylla,2016,2018,-2,9
0.5225,mixed,6,Acacia stenophylla,2018,2018,0,11
0.05,mixed,6,Acacia stenophylla,2015,2018,-3,5
0.05,mixed,6,Acacia stenophylla,2016,2018,-2,5
0.44,mixed,6,Acacia stenophylla,2018,2018,0,9
0.12,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.12,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.4125,mixed,6,Acacia stenophylla,2018,2018,0,9
0.12,mixed,6,Acacia stenophylla,2015,2018,-3,6
0.12,mixed,6,Acacia stenophylla,2016,2018,-2,6
0.45,mixed,6,Acacia stenophylla,2018,2018,0,10
0.24,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.585,Group 2,10,Eucalyptus largiflorens,2018,2018,0,11
0.01,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,2
0.01,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,2
0,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0
0.2,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.2,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.52,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.42,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,9
0.6,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.1,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,6
0.1,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,6
0.5625,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.6,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.45,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,9
0.45,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,9
0.64,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.22,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.22,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.375,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,9
0.375,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,9
0.68,Group 1,22,Eucalyptus largiflorens,2018,2018,0,11
0.375,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,9
0.375,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,9
0.6375,Group 1,22,Eucalyptus largiflorens,2018,2018,0,11
0.2,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,7
0.2,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,7
0.68,Group 1,22,Eucalyptus largiflorens,2018,2018,0,11
0.28,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,8
0.28,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 1,22,Eucalyptus largiflorens,2018,2018,0,10
0.6825,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,12
0.6825,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,12
0.76,Group 1,22,Eucalyptus largiflorens,2018,2018,0,12
0.6825,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,12
0.6825,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,12
0.76,Group 1,22,Eucalyptus largiflorens,2018,2018,0,12
0.36,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 1,22,Eucalyptus largiflorens,2016,2018,-2,8
0.64,Group 1,22,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 1,22,Eucalyptus largiflorens,2015,2018,-3,7
0.486,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,10
0.225,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,8
0.225,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,8
0.72,Group 1,5,Eucalyptus largiflorens,2018,2018,0,11
0.243,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,9
0.243,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,9
0.765,Group 1,5,Eucalyptus largiflorens,2018,2018,0,12
0.45,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,9
0.45,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,9
0.7225,Group 1,5,Eucalyptus largiflorens,2018,2018,0,12
0.486,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,10
0.486,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,10
0.72,Group 1,5,Eucalyptus largiflorens,2018,2018,0,11
0.42,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,9
0.68,Group 1,5,Eucalyptus largiflorens,2018,2018,0,11
0.42,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,9
0.7225,Group 1,5,Eucalyptus largiflorens,2018,2018,0,12
0.18,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,7
0.5625,Group 1,5,Eucalyptus largiflorens,2018,2018,0,10
0.405,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,10
0.405,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,10
0.525,Group 1,5,Eucalyptus largiflorens,2018,2018,0,10
0.21,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,8
0.21,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,8
0.6375,Group 1,5,Eucalyptus largiflorens,2018,2018,0,11
0.25,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,8
0.25,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,8
0.4125,Group 1,5,Eucalyptus largiflorens,2018,2018,0,9
0.18,Group 1,5,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 1,5,Eucalyptus largiflorens,2016,2018,-2,7
0.56,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.4875,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.49,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.6,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.525,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.6,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.325,Group 2,26,Eucalyptus largiflorens,2018,2018,0,9
0.56,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.375,Group 2,26,Eucalyptus largiflorens,2018,2018,0,9
0.455,Group 2,26,Eucalyptus largiflorens,2018,2018,0,10
0.64,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.28,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,8
0.28,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.12,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,6
0.56,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.6375,Group 2,10,Eucalyptus largiflorens,2018,2018,0,11
0.24,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.24,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.48,Group 2,10,Eucalyptus largiflorens,2018,2018,0,9
0.16,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,6
0.16,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,6
0.6375,Group 2,10,Eucalyptus largiflorens,2018,2018,0,11
0.04,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,4
0.04,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,4
0.3,Group 2,10,Eucalyptus largiflorens,2018,2018,0,8
0.3,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,8
0.3,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,8
