residual,Density,time,HydroGp,Transect,Species,standResid
0.025358034352530257,0.7,-0.5,Group 5,17,RRG,0.1586387897977195
-0.03669264419291418,0.75,1.5,Group 5,17,RRG,-0.617437055476906
-0.0085763983879239,0.6,-1.5,Group 5,17,RRG,-0.05365358537530346
-0.07464196564746972,0.6,-0.5,Group 5,17,RRG,-0.4669569783612202
-0.03669264419291418,0.75,1.5,Group 5,17,RRG,-0.617437055476906
0.2414236016120761,0.85,-1.5,Group 5,17,RRG,1.5103358350220462
0.17535803435253028,0.85,-0.5,Group 5,17,RRG,1.0970324420361295
-0.08669264419291423,0.7,1.5,Group 5,17,RRG,-1.4588005890378664
0.2414236016120761,0.85,-1.5,Group 5,17,RRG,1.5103358350220462
0.36244497038323825,0.8,-0.5,Group 2,16,RRG,1.8213412894627719
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.4810658963940172,0.8,-1.5,Group 2,16,RRG,2.417429545589754
0.26244497038323816,0.7,-0.5,Group 2,16,RRG,1.318826028308246
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.3810658963940171,0.7,-1.5,Group 2,16,RRG,1.914914284435228
-0.03755502961676177,0.4,-0.5,Group 2,16,RRG,-0.18871975515532977
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.08106589639401718,0.4,-1.5,Group 2,16,RRG,0.4073685009716524
-0.23755502961676178,0.2,-0.5,Group 2,16,RRG,-1.1937502774643804
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
-0.11893410360598283,0.2,-1.5,Group 2,16,RRG,-0.5976620213373984
0.06244497038323821,0.5,-0.5,Group 2,16,RRG,0.3137955059991955
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.18106589639401716,0.5,-1.5,Group 2,16,RRG,0.9098837621261776
0.06244497038323821,0.5,-0.5,Group 2,16,RRG,0.3137955059991955
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.18106589639401716,0.5,-1.5,Group 2,16,RRG,0.9098837621261776
-0.03755502961676177,0.4,-0.5,Group 2,16,RRG,-0.18871975515532977
0.01776183540417975,0.7,1.5,Group 2,16,RRG,0.2727308615691972
0.08106589639401718,0.4,-1.5,Group 2,16,RRG,0.4073685009716524
-0.23755502961676178,0.2,-0.5,Group 2,16,RRG,-1.1937502774643804
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
-0.11893410360598283,0.2,-1.5,Group 2,16,RRG,-0.5976620213373984
-0.03755502961676177,0.4,-0.5,Group 2,16,RRG,-0.18871975515532977
0.01776183540417975,0.7,1.5,Group 2,16,RRG,0.2727308615691972
0.08106589639401718,0.4,-1.5,Group 2,16,RRG,0.4073685009716524
0.16244497038323819,0.6,-0.5,Group 2,16,RRG,0.8163107671537208
0.11776183540417984,0.8,1.5,Group 2,16,RRG,1.8082189198867396
0.28106589639401713,0.6,-1.5,Group 2,16,RRG,1.4123990232807029
-0.03755502961676177,0.4,-0.5,Group 2,16,RRG,-0.18871975515532977
0.01776183540417975,0.7,1.5,Group 2,16,RRG,0.2727308615691972
0.08106589639401718,0.4,-1.5,Group 2,16,RRG,0.4073685009716524
0.26244497038323816,0.7,-0.5,Group 2,16,RRG,1.318826028308246
0.11776183540417984,0.8,1.5,Group 2,16,RRG,1.8082189198867396
0.3810658963940171,0.7,-1.5,Group 2,16,RRG,1.914914284435228
-0.03755502961676177,0.4,-0.5,Group 2,16,RRG,-0.18871975515532977
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.08106589639401718,0.4,-1.5,Group 2,16,RRG,0.4073685009716524
-0.23755502961676178,0.2,-0.5,Group 2,16,RRG,-1.1937502774643804
0.11776183540417984,0.8,1.5,Group 2,16,RRG,1.8082189198867396
-0.11893410360598283,0.2,-1.5,Group 2,16,RRG,-0.5976620213373984
-0.33755502961676176,0.1,-0.5,Group 2,16,RRG,-1.6962655386189058
-0.032238164595820185,0.65,1.5,Group 2,16,RRG,-0.49501316758957226
-0.21893410360598284,0.1,-1.5,Group 2,16,RRG,-1.1001772824919238
-0.2875550296167618,0.15,-0.5,Group 2,16,RRG,-1.4450079080416434
0.01776183540417975,0.7,1.5,Group 2,16,RRG,0.2727308615691972
-0.16893410360598285,0.15,-1.5,Group 2,16,RRG,-0.8489196519146611
0.3124449703832382,0.75,-0.5,Group 2,16,RRG,1.570083658885509
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.43106589639401716,0.75,-1.5,Group 2,16,RRG,2.166171915012491
0.06244497038323821,0.5,-0.5,Group 2,16,RRG,0.3137955059991955
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
0.18106589639401716,0.5,-1.5,Group 2,16,RRG,0.9098837621261776
-0.23755502961676178,0.2,-0.5,Group 2,16,RRG,-1.1937502774643804
-0.1822381645958202,0.5,1.5,Group 2,16,RRG,-2.798245255065884
-0.11893410360598283,0.2,-1.5,Group 2,16,RRG,-0.5976620213373984
0.06244497038323821,0.5,-0.5,Group 2,16,RRG,0.3137955059991955
0.01776183540417975,0.7,1.5,Group 2,16,RRG,0.2727308615691972
0.18106589639401716,0.5,-1.5,Group 2,16,RRG,0.9098837621261776
-0.23755502961676178,0.2,-0.5,Group 2,16,RRG,-1.1937502774643804
0.0677618354041798,0.75,1.5,Group 2,16,RRG,1.0404748907279684
-0.11893410360598283,0.2,-1.5,Group 2,16,RRG,-0.5976620213373984
